,Hashtag,Count
1250,sexbot,1
1251,university,1
1252,femininazi,1
1253,feminists,1
1254,everyone,1
1255,kiss,1
1256,myassnow,1
1257,bsho2succckanugly,1
1258,eggplant,1
1259,bxtch,1
1260,respected,1
1261,ifiwasyouidwannabemetoo,1
1262,itsnotright,1
1263,familycourts,1
1264,familylaw,1
1265,titleivsectiond,1
1266,socialsecurity,1
1267,jio,1
1268,badjio,1
1269,memorytweet,1
1270,gandhi,1
1271,ambedkar,1
1272,caste,1
1273,partition,1
1274,critic,1
1275,greatsoul,1
1276,tl,1
1277,pangani,1
1278,sevenminuteabs,1
1279,copycat,1
1280,unoriginal,1
1281,rubbermeetstheroad,1
1282,antibullying,1
1283,beautyandthebeastosf,1
1284,feesmustfall,1
1285,statecapture,1
1286,warondrugs,1
1287,democrats,1
1288,taxpayer,1
1289,realbeauty,1
1290,ny,1
1291,w2wontheroad,1
1292,journalist,1
1293,yemen,1
1294,taylorswift,1
1295,respect,1
1296,panchkulaviolence,1
1297,frustration,1
1298,defeat,1
1299,say,1
1300,to,1
1301,washedup,1
1302,lonelycow,1
